1,0,0,0,-1,-6,1,1,-1,0,0,-7,1,0,0,0,0,-5,1,1,0,0,0,-7,2,1,1,0,1,-6,-78,-79,-79,-79,-89,-96,0,
1,0,0,0,0,-5,2,1,1,1,1,-6,1,0,0,0,-1,-5,1,0,0,0,1,-6,1,0,0,1,2,-6,-80,-81,-81,-81,-76,-81,0,
0,0,0,0,-1,-5,1,0,0,0,-1,-6,1,1,0,0,-1,-5,1,0,0,0,0,-6,2,1,1,1,2,-6,-77,-78,-78,-84,-84,-90,0,
1,0,0,0,0,-4,2,2,0,0,0,-5,1,1,0,0,-1,-5,0,0,0,0,0,-6,1,1,1,0,1,-7,-83,-84,-84,-87,-87,-94,0,
1,0,0,0,-1,-5,2,1,0,0,0,-7,0,1,0,0,0,-6,1,0,0,0,1,-6,2,1,1,1,2,-4,-67,-68,-68,-40,-40,-45,0,
2,0,0,0,0,-4,2,1,1,1,1,-6,1,0,0,0,-1,-5,1,1,0,0,1,-6,2,1,1,0,0,-6,-84,-85,-85,-76,-77,-83,0,
1,0,0,0,0,-5,2,1,1,1,0,-7,1,0,0,0,0,-5,1,0,0,0,1,-7,2,2,1,0,0,-7,-78,-78,-79,-87,-88,-94,0,
1,0,0,0,-1,-5,1,0,1,1,0,-6,1,0,0,0,-1,-6,1,0,0,0,1,-7,1,1,0,0,0,-7,-79,-80,-80,-75,-75,-81,0,
1,0,0,0,0,-5,1,0,-1,0,0,-5,1,0,0,0,-1,-6,1,0,0,0,0,-6,1,1,0,0,1,-6,-85,-86,-86,-85,-85,-91,0,
1,0,0,0,0,-6,2,1,0,0,-1,-7,1,0,0,0,0,-6,1,1,0,0,0,-7,2,1,1,1,2,-6,-75,-76,-76,-87,-88,-94,0,
1,0,0,0,-1,-6,1,0,0,0,0,-6,1,1,0,0,0,-5,1,0,0,0,1,-7,1,1,1,1,1,-6,-83,-84,-84,-77,-77,-84,0,
1,0,0,0,0,-6,1,2,1,1,-1,-6,1,0,0,0,-1,-5,0,0,0,0,0,-7,2,1,1,1,1,-7,-87,-87,-88,-77,-78,-84,0,
2,1,1,1,-1,-5,1,0,0,0,-1,-7,1,0,0,0,-1,-6,1,0,0,0,1,-6,2,1,1,1,2,-4,17,15,15,-22,-22,-27,0,
2,0,0,1,0,-5,3,1,1,1,1,-5,0,0,0,0,0,-5,1,0,0,0,1,-5,3,2,0,0,1,-4,-46,-47,-41,-41,-41,-47,0,
1,0,0,0,0,-5,1,1,1,1,-1,-6,1,0,0,0,-1,-5,1,1,0,0,1,-5,2,1,1,1,1,-4,-66,-67,-56,-56,-56,-61,0,
1,0,0,0,0,-5,1,0,0,0,0,-5,1,0,0,0,-1,-7,1,0,0,0,1,-6,1,0,1,1,2,-6,-73,-74,-83,-83,-84,-96,0,
0,0,0,0,-1,-6,1,0,0,0,0,-7,1,0,0,0,-1,-6,1,1,0,0,0,-7,2,1,0,0,0,-7,-82,-83,-80,-80,-81,-83,0,
1,0,0,0,-1,-6,1,0,0,0,-1,-7,1,0,0,0,-1,-6,1,1,0,0,0,-7,2,1,0,1,2,-7,-89,-90,-80,-80,-81,-87,0,
1,0,0,0,-1,-5,2,0,0,0,-1,-7,1,1,0,0,0,-5,1,0,-1,0,0,-7,2,1,1,1,1,-6,-74,-75,-79,-79,-79,-99,0,
0,0,0,0,-1,-6,1,1,1,1,-1,-7,1,0,-1,0,-1,-6,0,1,0,0,0,-7,1,0,0,0,0,-6,-90,-90,-83,-83,-84,-81,0,
0,0,-1,0,-1,-6,1,0,0,0,-1,-7,0,1,0,0,-1,-6,-1,0,-1,0,0,-8,2,1,1,1,1,-7,-89,-90,-87,-86,-87,-93,0,
1,0,0,0,-1,-6,1,0,0,0,-1,-7,0,0,0,0,-1,-6,1,0,-1,0,0,-7,0,1,1,1,1,-7,-80,-81,-83,-83,-84,-97,0,
1,0,-1,0,-1,-7,2,1,1,0,-1,-7,1,0,0,0,-1,-7,0,0,0,0,0,-7,1,0,0,0,1,-6,-85,-86,-81,-81,-82,-82,0,
1,0,0,0,-1,-7,2,2,1,0,-1,-7,1,0,0,0,-1,-6,1,0,-1,0,0,-8,1,1,1,1,0,-7,-88,-87,-90,-89,-90,-88,0,
0,0,0,0,-1,-6,0,0,0,0,-1,-7,0,0,0,0,-1,-6,0,1,0,0,0,-7,0,1,1,1,2,-6,-80,-81,-82,-82,-83,-99,0,
0,0,0,0,-1,-6,1,1,0,0,-1,-7,1,0,0,0,-1,-6,1,1,0,0,0,-6,1,1,0,0,1,-5,-85,-84,-85,-84,-84,-84,0,
